Country,Vaccine,Rec_Level
western-sahara,Routine vaccines,All travelers
western-sahara,Hepatitis A,Most travelers
western-sahara,Typhoid,Most travelers
western-sahara,Hepatitis B,Some travelers
western-sahara,Malaria,Some travelers
western-sahara,Rabies,Some travelers
yemen,Measles,All travelers
yemen,Routine vaccines,All travelers
yemen,Hepatitis A,Most travelers
yemen,Typhoid,Most travelers
yemen,Cholera,Some travelers
yemen,Hepatitis B,Some travelers
yemen,Malaria,Some travelers
yemen,Rabies,Some travelers
zambia,Measles,All travelers
zambia,Routine vaccines,All travelers
zambia,Polio,All travelers
zambia,Hepatitis A,Most travelers
zambia,Malaria,Most travelers
zambia,Typhoid,Most travelers
zambia,Cholera,Some travelers
zambia,Hepatitis B,Some travelers
zambia,Rabies,Some travelers
zambia,Yellow Fever,Some travelers
zimbabwe,Measles,All travelers
zimbabwe,Routine vaccines,All travelers
zimbabwe,Hepatitis A,Most travelers
zimbabwe,Malaria,Most travelers
zimbabwe,Typhoid,Most travelers
zimbabwe,Cholera,Some travelers
zimbabwe,Hepatitis B,Some travelers
zimbabwe,Rabies,Some travelers
zimbabwe,Yellow Fever,Some travelers
